handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
raid_master,0,0,1,1,3,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,11,0,6,0,12,0,0,2,0,0,0,4,0,3,0,0,0
Oushnik20,0,0,31,17,38,0,11,36,28,9,2,32,2,0,0,1,5,4,0,8,96,1,49,1,95,1,0,28,0,0,2,43,0,18,0,7,24
mengesama,11,0,14,15,38,1,2,41,12,5,0,20,2,0,1,0,9,9,0,4,103,0,45,4,79,0,0,20,2,2,1,26,1,20,1,3,9
Al_Faiaj_Anon,4,0,49,30,116,0,12,110,39,12,1,45,5,1,0,0,21,21,3,11,251,2,196,5,208,1,0,34,3,2,2,78,1,64,0,5,35
aeshwin10,1,0,48,35,87,0,27,85,53,27,1,51,9,0,0,1,13,10,0,25,220,2,128,3,186,2,0,41,5,0,7,80,1,41,1,20,43
aayien,1,0,11,8,20,0,1,20,10,1,0,6,0,0,0,0,4,2,0,2,51,0,16,2,32,1,0,6,0,0,0,13,0,4,0,3,7
sergo895,0,0,67,25,117,0,13,117,48,36,12,78,12,0,0,0,23,8,4,31,237,1,135,7,179,1,0,38,1,1,3,71,0,42,1,19,34
PearlKy,0,0,30,22,58,0,16,60,32,12,0,51,7,0,0,0,9,8,1,16,159,1,65,0,118,2,0,36,1,0,6,54,0,21,0,9,38
Roller_Coaster_13,0,0,1,2,3,0,0,6,1,0,0,3,0,0,0,0,0,0,0,0,12,0,4,0,8,0,0,2,0,0,0,1,0,2,0,0,2
Abo_3adel,3,0,45,23,116,1,11,133,26,26,1,40,8,0,0,0,9,7,1,33,230,4,190,0,207,2,0,70,2,0,17,75,0,59,1,12,34
sowmya_01,1,0,7,6,50,0,1,29,4,0,0,12,1,0,0,0,6,1,1,1,82,0,118,0,88,0,0,10,0,0,1,30,0,46,0,0,7
Sekharr,1,0,18,9,43,0,7,43,12,1,0,17,1,0,0,1,5,8,0,1,101,1,49,0,99,0,0,24,1,0,1,29,0,23,0,0,8
chronic_alcoholic,1,0,25,6,68,1,7,54,15,0,0,17,2,1,0,0,9,9,2,1,138,3,111,0,129,0,0,18,1,0,2,51,0,36,0,0,32
brahmastra_,0,0,11,9,34,0,3,29,15,1,0,15,2,0,0,0,6,2,1,2,69,0,48,1,51,0,0,7,1,1,1,21,0,13,0,3,10
Ruuuumi,3,0,48,27,125,0,7,70,31,15,1,53,3,0,0,0,13,7,3,16,246,4,286,0,243,1,0,70,2,0,10,88,1,67,1,3,28
4ankit_raj9,0,0,10,11,41,1,5,40,4,0,1,6,0,0,0,0,6,2,2,1,80,0,49,0,79,0,0,18,0,0,0,22,0,18,1,1,9
code_tal,1,0,33,23,83,0,17,103,36,2,1,25,3,0,0,0,13,9,1,5,197,1,177,2,192,1,0,35,2,1,1,82,0,37,3,3,29
agupta06,0,0,23,13,31,0,8,30,25,8,0,26,2,0,0,1,5,3,0,9,90,2,39,0,72,0,0,20,0,0,1,42,0,13,1,7,29
ayub_shaikh,1,0,27,19,56,1,9,47,22,8,1,33,2,0,0,0,7,6,1,8,120,1,102,1,138,1,0,25,0,0,2,48,0,24,1,3,24
PawanVerma3314,1,0,48,33,117,0,22,122,64,7,3,55,4,0,0,1,16,9,2,9,273,3,116,3,226,2,0,65,2,1,3,88,2,40,2,4,42
pmandal2007,1,0,3,3,13,0,0,7,3,0,0,3,1,0,0,0,1,1,0,1,23,0,31,0,21,0,0,1,0,0,0,11,0,11,0,0,0
praneel1304,0,0,2,3,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,11,0,6,1,6,0,0,2,0,0,0,2,0,2,0,0,0
Parth_Maliye,1,0,15,16,39,1,6,74,20,2,0,11,3,0,0,0,12,6,0,3,121,3,52,0,106,0,0,19,1,0,1,43,0,21,0,2,14
mustansirhy,0,0,9,6,36,1,3,46,2,0,0,3,1,0,0,0,7,3,1,0,83,1,54,0,96,0,0,15,0,0,0,19,0,17,0,0,5
pulkiteleven,0,0,2,1,7,0,1,12,1,1,0,1,0,0,0,0,2,1,0,1,24,0,13,0,18,0,0,4,0,0,1,6,0,5,0,0,1
adityaxsundar,4,0,28,18,70,0,15,83,31,4,2,37,1,1,0,1,8,7,1,5,177,3,117,5,166,1,0,37,0,0,1,65,1,41,0,3,32
yhcy_dsy,0,0,1,2,2,0,0,4,1,0,0,3,0,0,0,0,1,0,0,0,16,0,7,0,9,0,0,1,0,0,0,2,0,3,0,0,1
ahiv.algnis,0,0,5,4,18,0,2,23,10,0,0,5,1,0,0,0,7,1,0,1,56,0,30,0,37,0,0,4,0,1,0,13,0,12,1,0,10
datshroud,0,1,21,15,59,1,11,60,28,18,3,41,3,1,0,0,7,4,4,16,129,2,51,4,89,1,0,23,2,2,3,29,0,20,1,14,11
Daksh_IITKanpur,0,0,4,3,8,0,0,6,4,0,0,1,0,0,0,0,2,2,0,0,21,0,7,0,12,0,0,3,0,0,0,6,0,4,0,0,2
namankansal000,1,0,20,14,59,0,9,54,20,2,0,17,1,0,0,0,4,5,0,0,132,1,72,1,136,0,0,30,0,0,1,45,0,34,0,2,20
LogicalLuminary,1,1,60,36,121,1,19,129,53,19,5,61,5,0,1,0,17,20,1,16,270,5,118,9,221,2,0,53,3,1,3,78,3,45,3,13,37
ancient_Dream,2,0,23,15,46,0,9,57,27,12,4,26,10,0,0,0,14,5,1,17,110,2,50,3,107,2,0,27,1,1,5,34,0,15,0,7,13
darkkid,0,0,67,32,140,1,17,130,50,15,0,48,3,0,0,1,22,17,2,12,307,2,151,1,271,3,0,60,2,0,1,99,1,54,2,14,46
am1n_1602,4,1,84,37,148,0,18,156,71,22,4,88,9,1,0,0,27,18,5,26,345,5,185,9,277,2,0,58,1,2,5,111,1,48,7,14,46
Lusn,0,0,2,3,9,1,0,9,3,0,0,1,1,0,0,0,0,0,0,0,18,0,13,0,20,0,0,3,0,0,0,5,0,7,0,0,3
knowknowledge10,0,0,3,7,8,0,1,14,1,0,0,5,0,0,0,0,0,1,0,1,28,0,9,1,22,0,0,8,0,0,0,7,0,5,0,0,0
Debug_Dilliwala,0,0,2,1,21,0,0,15,1,0,0,2,0,0,0,0,3,3,0,0,39,1,24,0,39,0,0,4,0,0,0,12,0,10,0,0,0
Nevermind_58,1,0,3,5,33,0,2,19,5,0,0,5,0,0,0,0,4,2,1,0,50,0,106,0,60,0,0,6,0,0,1,25,0,34,1,0,5
shiva_sharma,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,6,0,8,0,0,0,0,0,0,2,0,2,0,0,0
Hossain_Ahmed,9,2,150,75,276,1,45,291,128,43,7,146,23,1,0,1,52,34,3,57,649,8,388,11,569,3,0,162,2,3,17,206,1,101,6,29,92
longlk,0,0,1,1,8,0,2,7,2,0,0,4,1,0,0,0,0,0,0,0,19,0,10,0,16,0,0,3,0,0,0,9,0,6,0,0,3
devanshsks,0,0,4,3,10,0,3,22,1,1,0,6,0,0,0,0,1,2,0,0,48,0,30,0,34,0,0,3,0,0,0,17,0,6,0,0,6
mhmd_karam,3,0,95,54,183,0,38,160,90,34,2,110,21,1,0,0,27,23,3,37,376,6,309,2,345,2,0,104,5,3,12,141,0,89,4,17,63
lnhnam1206,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,16,0,5,0,9,0,0,0,0,0,0,3,0,1,0,0,1
akshat.codes,7,0,18,18,66,1,9,52,15,9,0,21,3,0,1,0,13,8,1,5,120,0,76,1,130,0,0,34,1,0,2,40,1,26,1,1,10
nyavro,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,3,0,0,1,0,0,0,4,0,1,0,0,0
akshitsinghvi28,0,0,35,5,26,0,16,29,17,9,1,14,3,0,0,0,3,3,1,10,53,3,34,13,62,0,0,19,3,0,4,19,1,13,4,6,13
Jin_Kazama_jalaun,2,0,51,31,91,0,12,93,48,14,2,49,8,0,0,0,16,16,1,15,222,5,105,0,174,2,0,43,2,1,6,73,0,32,3,10,35
Kutubkhan_B,0,0,28,20,56,0,6,41,25,2,0,21,2,0,0,1,11,6,0,2,138,1,89,1,103,1,0,35,0,1,2,54,0,24,1,2,30
ParamMehta,0,0,4,7,26,0,0,37,10,1,0,5,1,0,0,0,5,4,0,3,76,0,54,0,56,0,0,10,0,0,0,16,0,17,0,0,8
Animesh06Roy,4,0,20,7,66,0,5,49,14,6,0,17,1,0,0,0,5,10,2,2,112,1,117,1,148,0,0,34,0,0,3,47,0,39,2,0,17
Muhammad_Umar26,0,0,17,10,49,0,3,58,15,1,0,12,2,0,0,0,9,7,1,5,132,1,61,5,102,1,0,18,1,0,1,35,0,27,1,1,9
ankush_017,0,0,10,9,18,0,1,21,3,0,1,8,2,0,0,0,3,0,0,1,44,0,16,0,27,0,0,6,0,0,0,16,0,10,0,1,7
Eleven111,0,0,11,9,37,0,5,38,16,1,1,13,0,0,0,0,6,3,1,1,89,2,44,0,74,0,0,17,1,0,1,32,0,21,0,1,14
olezhkavayn,6,1,45,32,114,0,18,141,39,20,1,40,12,3,0,2,24,20,2,24,320,5,250,3,232,2,0,43,2,0,5,92,0,67,0,10,34
yendelevium,0,0,7,9,29,0,4,37,5,2,0,5,1,0,0,0,5,3,0,1,74,1,32,0,71,0,0,18,0,0,0,20,0,16,0,1,9
Bhavi_boomboom,0,0,4,6,14,0,1,13,1,0,0,1,1,0,0,0,2,0,0,1,32,0,15,2,24,0,0,7,0,0,0,9,0,2,0,1,5
Amogh_Gajera,0,0,2,7,33,0,3,27,2,1,0,3,0,0,0,0,3,2,0,1,60,1,30,0,68,0,0,17,0,0,0,16,0,12,0,0,4
hydroz_alt,0,0,1,3,8,0,1,10,2,0,0,1,0,0,0,0,1,2,0,0,22,0,18,0,18,1,0,2,0,0,0,3,0,4,0,0,2
Narayana.P,1,0,1,4,19,0,1,15,1,0,0,3,0,0,0,0,4,3,1,0,52,1,23,0,53,0,0,5,0,0,0,11,0,12,0,0,3
paintit_black,0,0,5,4,7,0,1,13,5,2,0,5,2,0,0,0,0,2,0,0,28,0,10,2,18,0,0,5,0,1,0,6,0,5,0,1,6
Almazovich,7,1,34,28,93,0,8,92,25,13,4,52,5,0,1,0,18,12,3,8,187,1,165,7,174,0,0,39,0,1,2,55,1,46,2,7,22
pecherzik,2,0,15,5,22,0,2,19,7,1,0,6,0,0,0,0,1,2,1,1,56,0,41,0,64,0,0,9,0,0,1,17,0,10,1,0,7
sindhujap1110,0,1,17,9,34,0,6,47,16,2,1,14,1,0,0,0,8,5,0,7,105,3,42,6,83,1,0,20,0,1,1,35,0,9,0,4,13
vineet1317,4,0,4,7,18,0,2,23,6,0,0,7,1,1,0,0,5,4,0,1,60,1,36,0,58,1,0,11,0,0,0,21,0,12,1,0,4
c4513,0,0,24,10,43,1,4,39,27,3,0,22,3,0,0,1,9,4,2,1,98,0,47,0,68,1,0,12,0,0,0,34,0,12,1,4,11
linzijian3125004251,0,0,3,7,7,0,1,8,8,0,1,11,3,0,0,0,3,0,0,1,26,0,7,0,16,0,0,4,0,0,0,5,0,5,0,2,2
TouhidAhmed,4,3,141,71,233,0,54,253,135,58,11,191,21,0,1,0,32,25,5,53,500,15,330,12,430,5,0,117,6,1,17,171,2,106,7,34,90
anshbansal19906,0,0,7,8,29,0,3,33,5,0,0,12,0,1,0,0,2,1,2,2,67,0,57,1,45,0,0,8,1,0,2,21,0,14,1,0,10
beluga_yeet,0,0,21,12,44,1,6,40,13,1,0,11,1,1,0,0,4,4,1,1,94,1,67,0,93,0,0,14,0,0,1,31,0,20,1,2,13
raghGupt,0,0,4,4,13,0,2,16,0,2,0,3,0,0,0,0,3,2,0,1,37,0,10,0,28,0,0,7,0,0,1,7,0,8,0,0,3
ansh_bhatnagar0,0,0,2,3,8,0,1,0,2,0,0,4,1,0,0,0,2,0,0,0,14,0,5,0,10,0,0,1,0,0,0,4,0,5,0,1,3
thewoahguy24,13,0,124,64,250,1,33,272,120,40,9,111,19,2,0,2,50,27,4,38,549,7,326,19,461,3,0,105,6,2,8,166,1,101,8,36,69
chenyihong,0,0,1,2,5,0,0,6,0,0,0,4,0,0,0,0,1,0,0,1,12,0,8,0,12,0,0,2,0,0,1,3,0,2,0,0,0
Abdullah_78,4,2,152,64,272,1,35,265,118,38,3,159,16,1,0,1,43,31,7,38,593,9,438,13,544,4,0,120,6,2,9,197,2,140,4,18,97
thunder-saint,1,0,70,28,112,0,13,106,61,4,1,40,1,0,0,0,9,10,0,0,224,3,159,2,226,0,0,59,0,0,1,82,0,51,4,2,50
haircut_shirt,0,0,5,2,7,1,2,11,3,0,0,3,1,0,0,0,2,0,0,1,21,0,8,0,19,0,0,4,0,0,0,4,0,7,0,0,6
huotianbao,0,1,25,19,61,0,7,81,26,4,2,22,5,0,0,0,13,8,1,7,165,1,73,9,130,1,0,30,3,1,0,39,0,23,1,5,21
zkxttk,0,3,73,31,102,0,29,119,63,27,5,75,14,0,0,1,19,13,2,28,224,3,91,4,165,3,0,44,2,1,6,67,0,27,3,16,36
murad501,4,0,50,43,145,1,11,160,66,8,1,37,6,0,0,1,25,12,2,3,365,4,228,2,299,1,0,69,2,2,0,112,1,81,1,5,53
spdrmn,0,0,1,2,5,0,0,6,1,0,0,3,0,0,0,0,0,0,0,0,17,0,7,0,11,0,0,4,0,0,0,2,0,3,0,0,2
Tirthankarpal123,0,0,18,12,56,0,9,52,14,5,1,21,3,0,0,0,8,4,2,3,118,0,58,0,96,2,0,23,1,0,0,36,0,21,0,2,15
satyamntsin,1,0,45,34,110,0,12,140,31,6,0,38,2,0,0,0,15,18,1,4,275,1,130,0,227,2,0,48,2,1,2,85,0,45,2,0,35
nagajahnavidann1,0,0,10,11,31,0,1,37,7,0,0,6,1,0,0,0,3,4,1,1,91,2,47,3,71,0,0,10,0,1,0,24,0,16,0,0,4
chenganger04,0,0,11,15,59,0,8,55,16,1,0,22,0,0,0,1,7,10,0,5,135,0,102,0,125,1,0,18,1,0,0,44,0,39,1,2,14
lazyflash99,4,0,44,27,79,0,13,86,21,4,0,26,1,2,0,1,14,14,2,6,182,4,129,4,175,0,0,40,1,2,4,59,0,41,2,2,30
tarek14,8,1,78,34,143,2,14,140,54,37,3,72,13,1,0,1,24,13,2,46,310,3,208,6,251,0,0,71,2,1,14,96,1,64,4,21,47
il-pragadish-aak,1,1,151,102,328,1,48,332,126,80,7,137,24,1,1,2,46,28,6,75,674,15,460,9,609,3,0,158,5,3,16,204,1,136,5,31,85
abso1ute,0,0,11,4,28,1,3,38,12,2,0,12,2,0,0,0,2,5,1,1,72,1,42,0,59,2,0,10,0,0,0,19,0,18,0,1,7
Lakshya_Pareta,0,0,0,3,11,0,0,9,1,0,0,5,0,0,0,0,1,0,0,1,25,0,14,0,20,0,0,4,0,0,0,9,0,5,0,0,1
dwx2024,0,0,22,12,39,0,3,46,20,7,1,16,5,0,0,0,10,6,0,7,110,1,57,2,78,0,0,19,0,1,0,25,0,15,1,6,13
bluemannyy,0,0,5,4,12,0,0,19,4,4,0,7,0,0,0,0,3,2,0,3,39,0,17,1,28,0,0,6,0,1,0,11,0,4,0,3,6
YellowToTruth,1,0,29,18,63,0,8,72,25,11,3,37,7,0,0,0,14,10,3,9,157,1,57,1,106,0,0,22,2,1,2,42,1,12,1,8,20
ujjwalagarwal,1,0,3,8,16,0,0,5,3,0,0,3,1,0,0,0,2,4,1,0,23,0,47,0,33,0,0,2,1,0,1,11,0,14,0,1,1
NoComet,0,0,5,6,15,0,3,19,4,1,1,6,1,0,0,0,5,1,0,1,40,0,23,0,36,0,0,10,0,0,0,11,0,10,0,1,2
jesterjet,0,0,67,34,111,0,21,122,69,16,4,67,8,0,0,0,19,19,4,20,312,9,133,3,243,2,0,68,3,2,5,107,0,44,2,10,55
tejaskk.13,0,2,58,37,99,0,14,121,63,14,2,62,7,0,0,1,21,15,1,17,275,4,132,5,200,2,0,40,1,1,6,100,0,38,3,12,42
neveraboolean,0,0,41,25,89,1,12,97,46,15,3,39,12,0,0,0,15,9,2,16,206,3,80,8,150,0,0,34,1,1,2,56,0,24,4,9,27
SerajOmar,4,0,116,53,227,1,25,170,120,88,16,103,41,1,0,1,19,15,6,81,431,12,399,12,393,4,0,143,3,2,24,152,1,98,4,45,73
jenish10,4,0,23,9,93,0,6,46,17,7,0,24,1,1,0,0,4,4,2,4,118,3,166,0,141,0,0,37,0,0,1,52,0,54,1,2,10
Subh_1843,1,0,68,32,116,2,22,121,58,26,3,68,6,0,1,2,18,6,1,15,288,4,150,0,255,1,0,63,1,2,4,99,0,52,4,21,50
shenxinge,0,0,11,9,10,0,2,15,19,3,1,21,1,0,0,1,4,1,0,7,44,0,19,1,21,0,1,7,0,0,3,12,0,7,0,5,7
ahmedmahmoud6121,0,0,44,29,72,0,11,89,50,17,2,78,11,1,0,3,4,7,1,26,168,2,86,15,131,4,1,36,1,0,6,56,1,26,0,13,30
Kayum_gazI01,0,2,87,56,141,0,33,148,87,40,13,108,18,1,0,2,19,18,3,40,273,11,163,6,246,1,0,65,1,1,11,86,2,55,2,24,56
wangbocheng,0,0,5,8,11,0,0,13,4,0,0,3,3,0,0,0,2,1,0,0,38,0,12,1,22,0,0,5,0,1,0,10,0,4,0,2,2
Himanshu_patel13,7,3,117,67,198,0,43,221,112,48,11,129,19,0,1,3,35,28,5,49,440,9,205,19,347,1,1,85,2,4,16,129,2,62,6,36,63
The__Atom,0,0,16,15,40,0,11,40,25,10,6,35,5,0,1,2,2,7,0,10,86,4,44,5,66,1,0,16,5,1,1,19,1,14,2,8,17
itschaudhary18,1,0,21,12,40,0,8,33,14,4,0,13,3,0,0,0,7,2,0,4,99,0,51,0,73,0,0,14,0,0,0,36,0,19,2,2,16
lice1211,3,0,21,8,36,0,10,24,16,15,1,37,5,0,0,0,3,1,0,8,83,0,70,4,69,0,1,10,0,0,1,25,0,17,0,3,13
Lorinder,0,0,9,9,16,0,0,16,8,0,0,9,1,0,0,0,4,2,0,0,46,1,17,3,29,0,0,7,0,0,0,13,0,9,1,0,6
piyusha_kumar1234,0,0,59,39,95,0,30,91,44,18,2,63,6,0,0,1,9,9,0,14,238,4,120,0,213,2,0,74,5,2,4,89,0,44,2,14,55
_dev_199,1,0,18,11,39,0,6,36,15,5,0,18,2,0,0,0,5,4,0,5,98,0,41,0,80,0,0,23,0,0,2,44,0,18,0,3,19
_MZA1,13,0,12,9,36,1,7,32,11,5,0,15,2,1,0,1,0,10,2,6,78,0,53,1,58,0,0,12,1,1,1,22,1,25,0,2,11
prenavreddy,0,0,9,8,30,0,4,38,11,0,0,10,0,0,0,0,4,2,0,1,81,0,33,0,60,0,0,17,0,0,1,30,0,14,1,1,16
Nevil_Anghan,1,0,78,28,99,0,16,125,70,13,1,74,6,0,0,1,22,7,3,14,339,4,128,1,253,1,0,58,1,1,2,122,0,41,3,4,63
ayanasamuel,5,0,20,7,29,0,2,20,13,13,3,20,6,1,0,0,0,2,1,15,66,1,58,0,43,0,0,12,0,0,0,30,0,22,0,6,9
Aryan.n,0,0,19,18,35,0,11,48,19,6,0,16,1,0,0,0,7,4,1,6,123,1,63,1,95,1,0,22,1,0,0,34,0,27,0,5,21
mayank090,0,1,19,13,51,0,3,54,20,8,1,24,6,0,0,0,6,6,0,8,111,1,50,1,80,1,0,13,0,2,0,25,0,12,1,5,17
VasuBhakt,0,1,90,60,163,0,47,184,96,50,10,117,14,0,0,2,24,22,1,45,387,10,182,5,362,2,0,113,2,1,12,127,1,66,3,34,66
lokeshwar777,0,0,30,23,70,0,15,70,28,8,1,33,2,0,0,1,11,5,2,6,161,1,60,2,150,1,0,41,0,0,1,66,0,27,0,6,34
white_gugu,0,0,1,3,5,0,0,5,3,1,0,4,1,0,0,0,0,0,0,1,18,0,7,0,10,0,0,4,0,0,0,4,0,5,0,1,2
Harsh_Prakash2204,0,0,1,4,5,0,0,9,2,0,0,0,0,0,0,0,2,5,0,0,22,0,9,0,19,0,0,3,0,0,0,6,0,4,0,0,1
Okey_Dokey,3,0,14,5,50,0,2,46,27,0,0,9,1,0,0,0,7,3,1,0,94,2,113,0,90,0,0,20,1,1,1,34,0,33,0,0,10
r_viz,0,0,5,4,8,0,2,9,2,0,0,2,0,0,0,0,0,1,0,1,18,0,7,2,11,0,0,3,0,1,0,3,0,1,0,0,3
debmalyo.004,0,0,7,4,14,0,2,15,12,8,0,31,6,0,0,0,0,1,0,9,37,1,16,2,22,0,0,5,0,0,2,8,0,3,0,4,4
devtp11,0,0,5,4,10,0,2,14,11,6,0,7,3,0,0,0,2,1,0,6,27,2,15,0,21,0,0,7,0,0,1,13,0,5,0,2,5
Adi_tya2063,2,0,45,23,96,0,17,70,80,58,0,85,24,0,0,1,8,6,2,66,218,4,105,2,164,2,0,35,2,1,9,81,0,42,0,18,52
zybr,1,0,11,10,25,0,3,34,7,0,0,7,2,0,0,0,6,6,0,2,83,1,33,2,60,1,0,20,0,0,0,25,0,16,0,1,9
ak6,0,0,2,6,8,0,4,12,3,2,0,11,2,0,0,0,1,0,0,1,25,0,9,3,16,0,0,5,2,0,0,8,0,6,0,1,1
samuelqi2022,1,0,0,2,4,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,12,0,7,0,9,0,0,3,0,0,0,2,0,2,0,0,0
aditya0312,0,1,39,19,52,0,16,49,39,9,2,38,5,0,0,1,7,9,0,8,150,3,59,4,138,0,0,35,0,0,5,57,1,26,1,7,33
aryan27.official,1,0,6,9,22,0,3,26,4,0,0,8,1,0,0,0,3,2,1,2,56,0,38,4,45,0,0,11,0,0,2,7,0,16,0,1,5
ked4ma,6,0,2,6,4,0,1,4,2,0,0,4,1,0,0,0,2,0,0,0,17,0,7,1,13,0,0,4,0,0,0,3,0,4,0,1,1
AngelDust_,0,0,16,12,24,0,10,30,23,13,2,34,4,0,0,0,5,2,0,13,62,2,30,4,56,0,0,13,1,2,6,20,0,11,2,13,11
ssss12333,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,13,1,8,0,8,0,0,1,0,0,1,3,0,2,0,0,0
rish01,7,1,116,43,246,1,49,240,128,61,10,185,25,2,1,3,24,27,3,72,571,8,533,6,509,2,2,109,5,0,19,193,2,128,9,33,75
Li_x,2,0,23,13,38,0,11,58,16,5,0,30,1,0,0,0,9,3,2,4,100,4,64,1,88,0,0,29,2,1,2,47,0,10,0,1,23
Saurav716,2,0,42,29,121,0,16,132,34,7,0,38,2,0,0,0,19,15,1,7,287,3,132,2,249,1,0,57,2,0,2,100,0,51,0,4,31
Jayansh_805,3,0,19,11,33,1,3,38,11,4,0,11,2,0,0,0,5,9,1,4,95,1,58,0,83,0,0,13,1,0,3,28,1,15,1,2,12
siddnt,0,0,43,27,66,0,18,59,47,21,5,49,6,0,0,1,9,8,0,17,153,7,60,5,139,1,0,43,0,2,6,64,2,26,2,14,45
Euph0r1a,1,1,23,18,56,0,7,81,20,2,0,29,5,0,0,0,15,9,1,7,170,0,66,3,123,1,0,27,2,1,0,40,1,24,0,2,15
shreyvijay,2,0,8,8,35,0,3,23,8,1,0,9,0,0,0,0,7,1,1,3,75,1,71,2,56,0,0,11,0,0,2,18,0,27,0,1,7
paavanf,1,0,5,4,30,0,2,9,4,0,1,4,1,0,0,0,4,0,0,0,37,0,44,3,51,0,0,10,1,0,0,13,0,8,0,1,6
sidhanshu,0,0,6,7,21,0,1,23,6,1,0,5,1,0,0,0,3,7,0,2,55,1,20,0,52,0,0,15,1,0,0,16,0,11,0,1,3
wrogn404,2,0,74,29,133,0,11,126,43,19,2,49,9,0,0,0,24,18,4,21,282,5,195,4,253,3,0,58,2,1,7,97,0,59,3,13,43
Jadeninja_12a,0,0,5,8,21,0,3,18,3,2,1,9,1,1,0,0,3,4,1,2,50,0,35,1,43,0,0,7,1,0,1,13,0,9,1,1,5
obiwankenobi_,0,0,0,4,4,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,20,0,7,0,13,0,0,2,0,0,0,4,0,4,0,0,2
AnkushRaj977,0,0,19,9,35,0,3,35,5,11,0,10,2,0,0,0,4,6,0,11,80,2,44,3,61,0,1,19,1,1,3,24,0,10,1,2,12
8_kguru,0,0,13,9,47,0,6,45,18,4,0,20,3,0,0,1,8,3,0,5,105,0,69,0,99,0,0,23,0,0,2,37,0,30,0,4,15
Adii,3,0,14,8,58,1,3,64,10,2,0,14,3,0,0,0,9,7,1,6,132,0,59,2,98,0,0,22,1,1,0,36,1,19,0,1,13
akshay_1810,0,0,5,2,23,0,3,28,3,1,0,6,0,0,0,0,3,1,0,0,57,0,32,0,72,0,0,15,0,0,0,12,0,10,1,0,1
wbsfg,0,0,5,5,6,0,1,5,4,0,0,6,2,0,0,0,3,0,0,1,19,0,6,0,8,0,0,2,0,0,0,3,0,2,0,2,1
gautam-bwdj,2,0,7,8,38,1,3,33,4,1,0,3,0,0,0,1,6,5,0,1,90,2,63,0,92,0,0,15,0,0,0,28,0,20,1,0,2
Code_Maker_only12,3,0,13,8,47,0,2,24,8,3,0,19,0,1,0,0,8,3,2,3,82,2,158,0,108,0,0,21,1,0,2,38,0,38,1,0,8
jyotpandya1512,0,0,2,3,2,0,0,5,2,1,1,1,0,0,0,0,0,0,0,0,10,0,5,0,8,0,0,2,0,0,0,2,0,1,0,1,1
suplex_city,1,0,41,24,81,1,13,93,43,29,5,42,14,0,0,0,15,6,2,25,189,6,90,8,139,1,0,26,1,2,5,66,1,29,4,16,40
chauhananshu.2002,1,0,2,1,6,0,1,6,0,0,0,2,0,0,0,0,0,1,0,0,16,0,12,0,13,0,0,4,0,0,0,7,0,7,0,0,3
ChatIsThisReal,2,0,30,28,78,1,13,99,34,6,1,32,5,0,1,0,18,11,0,8,216,2,89,10,185,0,0,46,0,1,2,62,0,29,1,8,32
Natural__Horse,0,0,10,6,17,0,4,21,11,3,3,11,1,0,0,0,1,1,0,5,41,3,32,1,34,1,0,9,0,0,1,13,0,9,2,5,7
ojuiceiitbhu,0,1,10,9,17,0,8,26,9,1,0,23,2,0,0,0,4,2,1,2,60,0,19,0,40,0,0,11,2,0,0,9,0,5,0,1,11
Rom_Rom_Bhaiyon,0,0,5,3,21,0,2,23,10,2,1,11,1,0,0,0,4,1,0,3,45,1,19,0,41,0,0,8,0,0,0,8,0,6,0,0,5
bala_siva,2,0,14,13,35,0,3,44,17,5,1,16,2,0,0,0,6,4,0,7,105,1,45,0,77,1,0,17,1,0,2,34,0,18,0,5,15
AA7med_N3GEH,5,0,75,51,207,1,46,129,76,31,3,116,14,1,0,0,16,35,4,27,335,5,297,4,364,2,0,101,6,1,8,101,0,85,4,19,54
ruban,69,4,502,220,1106,7,243,1074,383,209,21,658,72,13,3,14,120,225,14,228,1967,43,2055,49,2038,20,13,501,59,7,67,685,6,434,42,88,274
hanfei_Zhong,0,0,2,3,9,0,0,12,2,0,0,3,0,0,0,0,0,3,0,0,30,0,18,1,17,0,0,2,0,0,0,8,0,8,0,0,4
itsal0k,1,0,2,2,8,0,0,8,1,0,0,4,0,0,0,0,2,0,0,0,24,0,11,0,15,0,0,2,0,0,0,11,0,7,0,0,2
bikrant_18kr,0,0,29,22,51,0,12,50,37,13,2,40,7,0,0,1,4,7,0,11,143,4,55,0,127,1,0,33,0,0,5,56,2,25,0,9,32
Nerf_em08,2,0,10,10,63,0,4,44,9,9,0,13,1,1,0,0,7,4,2,8,120,1,136,1,127,0,0,24,0,0,2,43,0,41,0,3,9
