handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
S.Shalev,0,0,0,2,3,0,0,3,1,0,0,3,0,0,0,0,0,0,0,1,9,0,2,0,6,0,0,1,0,0,0,2,0,1,0,0,0
fleamoted_16,0,0,6,4,18,0,3,15,8,1,0,10,0,0,0,0,0,4,1,3,40,1,22,0,34,1,0,5,0,0,0,10,0,18,1,0,3
FearlessRD,4,0,21,13,35,1,2,35,13,3,1,14,3,0,0,0,6,4,3,5,92,0,40,0,71,0,0,19,2,0,2,33,0,17,0,1,12
pappuovi8,10,4,94,52,194,0,32,214,98,33,7,98,17,0,1,0,30,26,4,35,456,7,237,15,347,3,0,79,4,4,5,129,0,80,7,28,62
ChanTP,0,0,4,3,8,0,1,7,1,0,0,4,0,0,0,0,0,0,0,2,20,0,9,1,13,0,0,4,0,0,1,5,0,5,0,0,3
69Wadu,0,1,6,7,23,0,6,39,5,0,1,16,1,0,0,0,5,2,0,2,54,1,40,0,49,3,0,11,0,0,1,11,2,11,0,0,6
Nhrot,1,0,14,12,26,0,3,26,8,8,0,18,3,0,0,1,9,2,2,11,67,1,57,0,52,0,0,15,1,0,7,19,0,19,0,3,7
Vaidik19,1,0,18,15,41,0,10,36,20,3,1,21,2,0,0,0,5,5,0,4,84,1,41,1,95,1,0,23,0,0,1,41,0,18,0,2,21
AmIaBadKitty,0,0,3,4,5,0,1,5,2,0,1,4,0,0,0,0,1,0,0,1,16,0,8,2,13,0,0,5,0,0,0,5,0,1,0,0,2
pengkang,0,0,16,12,56,0,7,66,12,0,0,17,2,0,0,0,13,9,0,2,158,1,63,0,130,0,0,26,1,0,0,47,0,14,1,1,11
bkroy203,0,0,3,1,6,0,0,2,2,1,0,2,0,0,0,0,0,0,0,1,16,0,10,0,16,1,0,3,0,0,0,5,0,2,0,0,2
